,mobile_name,mobile_price,mobile_rating,ROM(Storage),Camera,Processor,Website
30,"APPLE iPhone 12 mini (Blue, 256 GB)","ýýý88,199",4.5,256 GB ROM,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-pro-silver-256-gb/p/itm41ac927e82906?pid=MOBFWBYZMZTJZTWK&lid=LSTMOBFWBYZMZTJZTWKASW35U&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBFWBYZMZTJZTWK.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
31,"APPLE iPhone 13 (Starlight, 256 GB)","ýýý83,990",4.7,128 GB ROM,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor",https://www.flipkart.com/apple-iphone-14-plus-purple-128-gb/p/itm7a759a472d863?pid=MOBGHWFHYFJWRHAG&lid=LSTMOBGHWFHYFJWRHAGU5GXS3&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBGHWFHYFJWRHAG.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
32,"APPLE iPhone 12 (Black, 256 GB)","ýýý52,999",4.6,256 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-mini-blue-256-gb/p/itmc642fc932a70c?pid=MOBFWBYZEWKFTSHF&lid=LSTMOBFWBYZEWKFTSHFC3ASGB&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBFWBYZEWKFTSHF.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
33,"APPLE iPhone 12 mini (Black, 256 GB)","ýýý71,999",4.5,256 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-starlight-256-gb/p/itm37b8de852304e?pid=MOBG6VF5NFYJ8KQX&lid=LSTMOBG6VF5NFYJ8KQX7FK2GA&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBG6VF5NFYJ8KQX.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
34,"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)","ýýý52,999",4.7,256 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-mini-black-256-gb/p/itmdd8bad2be7933?pid=MOBFWBYZXYYGEUXK&lid=LSTMOBFWBYZXYYGEUXKJLLNWR&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBFWBYZXYYGEUXK.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
35,"APPLE iPhone 13 (Starlight, 128 GB)","ýýý65,999",4.7,256 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-black-256-gb/p/itm68421fa1c1121?pid=MOBFWBYZ7CR9FRHZ&lid=LSTMOBFWBYZ7CR9FRHZIALAIL&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBFWBYZ7CR9FRHZ.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
36,"APPLE iPhone 14 Plus (Starlight, 256 GB)","ýýý61,999",4.5,128 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFXQGX7PK&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBG6VF5ADKHKXFX.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
37,"APPLE iPhone 14 Pro Max (Space Black, 256 GB)","ýýý93,990",4.7,256 GB ROM,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor",https://www.flipkart.com/apple-iphone-14-plus-starlight-256-gb/p/itm8ee001dd954a2?pid=MOBGHWFHQGM9B4EU&lid=LSTMOBGHWFHQGM9B4EULCGGOM&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBGHWFHQGM9B4EU.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
38,"APPLE iPhone 14 Pro Max (Silver, 128 GB)","ýýý65,999",4.7,256 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-blue-256-gb/p/itm3be487cd1dea5?pid=MOBFWBYZKYYZUANT&lid=LSTMOBFWBYZKYYZUANT0DVCKS&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBFWBYZKYYZUANT.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
39,"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)","ýýý1,49,900",4.5,256 GB ROM,48MP + 12MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor",https://www.flipkart.com/apple-iphone-14-pro-max-space-black-256-gb/p/itm8a92b3d600e04?pid=MOBGHWFHSEZUKWDM&lid=LSTMOBGHWFHSEZUKWDM1LFARE&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBGHWFHSEZUKWDM.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
40,"APPLE iPhone 14 Plus (Midnight, 128 GB)","ýýý1,39,900",4.5,128 GB ROM,48MP + 12MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor",https://www.flipkart.com/apple-iphone-14-pro-max-silver-128-gb/p/itmb520f3bdf56d5?pid=MOBGHWFHXFGNUZJA&lid=LSTMOBGHWFHXFGNUZJAJYYEBE&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBGHWFHXFGNUZJA.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
41,"APPLE iPhone 14 Pro (Space Black, 128 GB)","ýýý83,990",4.7,128 GB ROM,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor",https://www.flipkart.com/apple-iphone-14-plus-product-red-128-gb/p/itm185314a3fac59?pid=MOBGHWFH2KZRNRH5&lid=LSTMOBGHWFH2KZRNRH5KWKFMM&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&iid=b25e6d22-a10b-4e7e-87ea-6f47bac62d54.MOBGHWFH2KZRNRH5.SEARCH&ssid=cg6qfmede80000001672605128742&qH=3e7fa8c51e2e4986
